MP Name,mpConstituency,Party,MP Page Reference
The Hon. Stephen Kinnock,Aberavon,Labour,/wiki/Stephen_Kinnock
Guto Bebb,Aberconwy,Conservative,/wiki/Guto_Bebb
Kirsty Blackman,Aberdeen North,SNP,/wiki/Kirsty_Blackman
Ross Thomson,Aberdeen South,SNP,/wiki/Ross_Thomson
Neil Gray,Airdrie and Shotts,SNP,/wiki/Neil_Gray
Leo Docherty,Aldershot,Conservative,/wiki/Leo_Docherty
Wendy Morton,Aldridge-Brownhills,Conservative,/wiki/Wendy_Morton
Graham Brady,Altrincham and Sale West,Conservative,/wiki/Graham_Brady
Mark Tami,Alyn and Deeside,Labour,/wiki/Mark_Tami
Nigel Mills,Amber Valley,Conservative,/wiki/Nigel_Mills_(politician)
Kirstene Hair,Angus,SNP,/wiki/Kirstene_Hair
Hywel Williams,Arfon,Plaid Cymru,/wiki/Hywel_Williams
Brendan O'Hara,Argyll and Bute,SNP,/wiki/Brendan_O%27Hara
Nick Herbert,Arundel and South Downs,Conservative,/wiki/Nick_Herbert
Gloria De Piero,Ashfield,Labour,/wiki/Gloria_De_Piero
Damian Green,Ashford,Conservative,/wiki/Damian_Green
Angela Rayner,Ashton-under-Lyne,Labour,/wiki/Angela_Rayner
David Lidington,Aylesbury,Conservative,/wiki/David_Lidington
Bill Grant,"Ayr, Carrick and Cumnock",SNP,/wiki/Bill_Grant_(politician)
The Hon. Victoria Prentis,Banbury,Conservative,/wiki/Victoria_Prentis
David Duguid,Banff and Buchan,SNP,/wiki/David_Duguid_(politician)
Dame Margaret Hodge,Barking,Labour,/wiki/Margaret_Hodge
Dan Jarvis,Barnsley Central,Labour,/wiki/Dan_Jarvis
Stephanie Peacock,Barnsley East,Labour,/wiki/Stephanie_Peacock_(politician)
John Woodcock,Barrow and Furness,Labour Co-operative,/wiki/John_Woodcock_(politician)
John Baron,Basildon and Billericay,Conservative,/wiki/John_Baron_(politician)
Maria Miller,Basingstoke,Conservative,/wiki/Maria_Miller
John Mann,Bassetlaw,Labour,/wiki/John_Mann_(British_politician)
Wera Hobhouse,Bath,Conservative,/wiki/Wera_Hobhouse
Tracy Brabin,Batley and Spen,Labour Co-operative,/wiki/Tracy_Brabin
Marsha de Cordova,Battersea,Conservative,/wiki/Marsha_de_Cordova
Dominic Grieve,Beaconsfield,Conservative,/wiki/Dominic_Grieve
Bob Stewart,Beckenham,Conservative,/wiki/Bob_Stewart_(British_Army_officer)
Mohammad Yasin,Bedford,Conservative,/wiki/Mohammad_Yasin_(politician)
Gavin Robinson,Belfast East,DUP,/wiki/Gavin_Robinson
Nigel Dodds,Belfast North,DUP,/wiki/Nigel_Dodds
Emma Little Pengelly,Belfast South,SDLP,/wiki/Emma_Little_Pengelly
Paul Maskey,Belfast West,Sinn Féin,/wiki/Paul_Maskey
Neil Coyle,Bermondsey and Old Southwark,Labour,/wiki/Neil_Coyle
Anne-Marie Trevelyan,Berwick-upon-Tweed,Conservative,/wiki/Anne-Marie_Trevelyan
John Lamont,"Berwickshire, Roxburgh and Selkirk",SNP,/wiki/John_Lamont_(Scottish_politician)
Rushanara Ali,Bethnal Green and Bow,Labour,/wiki/Rushanara_Ali
Graham Stuart,Beverley and Holderness,Conservative,/wiki/Graham_Stuart_(politician)
Huw Merriman,Bexhill and Battle,Conservative,/wiki/Huw_Merriman
David Evennett,Bexleyheath and Crayford,Conservative,/wiki/David_Evennett
Frank Field,Birkenhead,Labour,/wiki/Frank_Field_(British_politician)
Preet Gill,"Birmingham, Edgbaston",Labour Co-operative,/wiki/Preet_Gill
Jack Dromey,"Birmingham, Erdington",Labour,/wiki/Jack_Dromey
Roger Godsiff,"Birmingham, Hall Green",Labour,/wiki/Roger_Godsiff
Liam Byrne,"Birmingham, Hodge Hill",Labour,/wiki/Liam_Byrne
Shabana Mahmood,"Birmingham, Ladywood",Labour,/wiki/Shabana_Mahmood
Richard Burden,"Birmingham, Northfield",Labour,/wiki/Richard_Burden
Khalid Mahmood,"Birmingham, Perry Barr",Labour,/wiki/Khalid_Mahmood_(British_politician)
Steve McCabe,"Birmingham, Selly Oak",Labour,/wiki/Steve_McCabe_(politician)
Jess Phillips,"Birmingham, Yardley",Labour,/wiki/Jess_Phillips_(politician)
Helen Goodman,Bishop Auckland,Labour,/wiki/Helen_Goodman
Kate Hollern,Blackburn,Labour,/wiki/Kate_Hollern
Graham Stringer,Blackley and Broughton,Labour,/wiki/Graham_Stringer
Paul Maynard,Blackpool North and Cleveleys,Conservative,/wiki/Paul_Maynard
Gordon Marsden,Blackpool South,Labour,/wiki/Gordon_Marsden
Nick Smith,Blaenau Gwent,Labour,/wiki/Nick_Smith_(British_politician)
Liz Twist,Blaydon,Labour,/wiki/Liz_Twist
Ronnie Campbell,Blyth Valley,Labour,/wiki/Ronnie_Campbell
Nick Gibb,Bognor Regis and Littlehampton,Conservative,/wiki/Nick_Gibb
Dennis Skinner,Bolsover,Labour,/wiki/Dennis_Skinner
Sir David Crausby,Bolton North East,Labour,/wiki/David_Crausby
Yasmin Qureshi,Bolton South East,Labour,/wiki/Yasmin_Qureshi
Chris Green,Bolton West,Conservative,/wiki/Chris_Green_(politician)
Peter Dowd,Bootle,Labour,/wiki/Peter_Dowd
Matt Warman,Boston and Skegness,Conservative,/wiki/Matt_Warman
David Tredinnick,Bosworth,Conservative,/wiki/David_Tredinnick_(politician)
Tobias Ellwood,Bournemouth East,Conservative,/wiki/Tobias_Ellwood
Conor Burns,Bournemouth West,Conservative,/wiki/Conor_Burns
Phillip Lee,Bracknell,Conservative,/wiki/Phillip_Lee_(politician)
Imran Hussain,Bradford East,Labour,/wiki/Imran_Hussain_(British_politician)
Judith Cummins,Bradford South,Labour,/wiki/Judith_Cummins
Naz Shah,Bradford West,Labour,/wiki/Naz_Shah
James Cleverly,Braintree,Conservative,/wiki/James_Cleverly
Christopher Davies,Brecon and Radnorshire,Conservative,/wiki/Christopher_Davies_(Conservative_politician)
Dawn Butler,Brent Central,Labour,/wiki/Dawn_Butler
Barry Gardiner,Brent North,Labour,/wiki/Barry_Gardiner
Ruth Cadbury,Brentford and Isleworth,Labour,/wiki/Ruth_Cadbury
Alex Burghart,Brentwood and Ongar,Conservative,/wiki/Alex_Burghart
Madeleine Moon,Bridgend,Labour,/wiki/Madeleine_Moon
Ian Liddell-Grainger,Bridgwater and West Somerset,Conservative,/wiki/Ian_Liddell-Grainger
Andrew Percy,Brigg and Goole,Conservative,/wiki/Andrew_Percy
Lloyd Russell-Moyle,"Brighton, Kemptown",Conservative,/wiki/Lloyd_Russell-Moyle
Caroline Lucas,"Brighton, Pavilion",Green Party,/wiki/Caroline_Lucas
Kerry McCarthy,Bristol East,Labour,/wiki/Kerry_McCarthy
Darren Jones,Bristol North West,Conservative,/wiki/Darren_Jones_(politician)
Karin Smyth,Bristol South,Labour,/wiki/Karin_Smyth
Thangam Debbonaire,Bristol West,Labour,/wiki/Thangam_Debbonaire
Keith Simpson,Broadland,Conservative,/wiki/Keith_Simpson_(politician)
Bob Neill,Bromley and Chislehurst,Conservative,/wiki/Bob_Neill
Sajid Javid,Bromsgrove,Conservative,/wiki/Sajid_Javid
